label	n_nodes	current_grounding	current_status	route	target	swissprot_alt	go_alt	go_label	interpro_alt	curator_decision	note
pyruvate synthase (pyruvate:ferredoxin oxidoreductase)	1	GO:0019164		APPLIED_GO_MF	GO:0019164		GO:0043805	indolepyruvate ferredoxin oxidoreductase activity			applied in this pass; exact label match
reverse gyrase (TopR/rgy)	1	GO:0160097		APPLIED_GO_MF	GO:0160097						applied in this pass; exact label match
rhodopsin	1	InterPro:IPR001425		CURATED_INTERPRO	InterPro:IPR001425	UniProtKB:P42196	PR:000001245	rhodopsin	IPR000276	APPLIED	curator-reviewed replacement; taxon-agnostic semantic grounding
rubrerythrin	1	InterPro:IPR052364		APPLIED_IPR	InterPro:IPR052364	UniProtKB:P24931			IPR003251		applied in this pass; exact label match
superoxide dismutase (SodB)	1	GO:0004784		APPLIED_GO_MF	GO:0004784						applied in this pass; exact label match
superoxide reductase	1	GO:0050605		APPLIED_GO_MF	GO:0050605	UniProtKB:P82385	GO:0050605	superoxide reductase activity	IPR051233		applied in this pass; exact label match
thiosulfate dehydrogenase (TsdA)	1	GO:0050338		APPLIED_GO_MF	GO:0050338						applied in this pass; exact label match
transposase	1	GO:0004803		APPLIED_GO_MF	GO:0004803	UniProtKB:Q46087	GO:0004803	transposase activity	IPR001207		applied in this pass; exact label match
type IV secretion system (T4SS)	1	GO:0043684		APPLIED_GO_CC	GO:0043684		GO:0043684	type IV secretion system complex			applied in this pass; exact label match
tyrosinase	1	GO:0004503		APPLIED_GO_MF	GO:0004503	UniProtKB:A0A261GVB1	GO:0004503	tyrosinase activity	IPR002227		applied in this pass; exact label match
urease	1	GO:0009039		APPLIED_GO_MF	GO:0009039	UniProtKB:O06708	GO:0035550	urease complex	IPR002019		applied in this pass; exact label match
Na+/H+ antiporter	8			CANDIDATE_InterPro	IPR002758	UniProtKB:Q4L4W4	GO:0032417	positive regulation of sodium:proton antiporter activity	IPR002758		family-level candidate; verify it is not a subunit/domain
MreB	7			CANDIDATE_InterPro	IPR004753	UniProtKB:Q01465			IPR004753		family-level candidate; verify it is not a subunit/domain
ATP synthase	6			CANDIDATE_InterPro	IPR000131	UniProtKB:Q971B6	GO:1905273	positive regulation of proton-transporting ATP synthase activity, rotational mechanism	IPR000131		family-level candidate; verify it is not a subunit/domain
FtsZ	6	InterPro:IPR000158		CURATED_INTERPRO	InterPro:IPR000158	UniProtKB:A0A0H3C3S1	GO:2000244	regulation of FtsZ-dependent cytokinesis	IPR000158	APPLIED	curator-reviewed replacement; taxon-agnostic semantic grounding
F0F1-ATPase	5			CANDIDATE_InterPro	IPR011744		GO:0046961	proton-transporting ATPase activity, rotational mechanism	IPR011744		family-level candidate; verify it is not a subunit/domain
FlhG	4	InterPro:IPR033875		CURATED_INTERPRO	InterPro:IPR033875				IPR033875	APPLIED	curator-reviewed replacement; taxon-agnostic semantic grounding
MreC	5			CANDIDATE_InterPro	IPR007221	UniProtKB:P84480			IPR007221		family-level candidate; verify it is not a subunit/domain
Na+/H+ antiporters	5			REVIEW_GO_SUSPECT	GO:0032417		GO:0032417	positive regulation of sodium:proton antiporter activity			top-hit failed the exactness check — likely wrong
Crt enzymes	4			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
FlhF	4			CANDIDATE_InterPro	IPR020006	UniProtKB:O52908			IPR020006		family-level candidate; verify it is not a subunit/domain
FliG	4			CANDIDATE_InterPro	IPR000090	UniProtKB:P0ABZ1	GO:0007629	flight behavior	IPR000090		family-level candidate; verify it is not a subunit/domain
RodA	4	InterPro:IPR001182		CURATED_INTERPRO	InterPro:IPR001182	UniProtKB:P9WN99			IPR001182	APPLIED	curator-reviewed replacement; taxon-agnostic semantic grounding
photosynthetic reaction center	4			CANDIDATE_SwissProt	UniProtKB:P51758	UniProtKB:P51758	GO:0030076	light-harvesting complex			reviewed entry; instance-level — pair with a taxon if used
Mrp Na+/H+ antiporter complex	3			NO_CANDIDATE							no automated candidate; needs manual curation
PilB extension ATPase	3			NO_CANDIDATE							no automated candidate; needs manual curation
PilT retraction ATPase	3			NO_CANDIDATE							no automated candidate; needs manual curation
Rod complex	3			REVIEW_GO_SUSPECT	GO:7770030		GO:7770030	rod photoreceptor phosphodiesterase 6 complex			top-hit failed the exactness check — likely wrong
RodA-PBP2 complex	3			NO_CANDIDATE							no automated candidate; needs manual curation
cold-shock proteins	3			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
crescentin	3			CANDIDATE_InterPro	IPR043652				IPR043652		family-level candidate; verify it is not a subunit/domain
ectABC operon	3			NO_CANDIDATE							no automated candidate; needs manual curation
proton-pumping respiratory complexes	3			NO_CANDIDATE							no automated candidate; needs manual curation
4-hydroxybutyryl-CoA dehydratase	2			CANDIDATE_SwissProt	UniProtKB:P55792	UniProtKB:P55792	GO:0043721	4-hydroxybutanoyl-CoA dehydratase activity			reviewed entry; instance-level — pair with a taxon if used
ATP citrate lyase (aclAB)	2			NO_CANDIDATE							no automated candidate; needs manual curation
ArsC arsenate reductase	2			NO_CANDIDATE							no automated candidate; needs manual curation
CheA histidine kinase	2			NO_CANDIDATE							no automated candidate; needs manual curation
CheY response regulator	2			NO_CANDIDATE							no automated candidate; needs manual curation
CspA cold-shock protein	2			NO_CANDIDATE							no automated candidate; needs manual curation
DnaK chaperone	2			NO_CANDIDATE							no automated candidate; needs manual curation
F1Fo-ATP synthase	2			REVIEW_GO_SUSPECT	GO:1990677		GO:1990677	mitochondrial inner membrane assembly complex			top-hit failed the exactness check — likely wrong
F1Fo-ATPase	2			REVIEW_GO_SUSPECT	GO:0046962		GO:0046962	sodium-transporting ATPase activity, rotational mechanism			top-hit failed the exactness check — likely wrong
FipA	2			NO_CANDIDATE							no automated candidate; needs manual curation
FtsZ division ring	2			NO_CANDIDATE							no automated candidate; needs manual curation
GpsB	2			CANDIDATE_InterPro	IPR011229	UniProtKB:A0AJZ3			IPR011229		family-level candidate; verify it is not a subunit/domain
MreB cytoskeleton	2			NO_CANDIDATE							no automated candidate; needs manual curation
NADH dehydrogenase (Complex I)	2			MANUAL_REVIEW			GO:0030964	NADH dehydrogenase complex			excluded by curator override
PBP2	2			CANDIDATE_InterPro	IPR032550	UniProtKB:P0AD65			IPR032550		family-level candidate; verify it is not a subunit/domain
PBP2b	2			CANDIDATE_InterPro	IPR047982	UniProtKB:A0A0H2ZQ75			IPR047982		family-level candidate; verify it is not a subunit/domain
RodZ	2	InterPro:IPR023690		CURATED_INTERPRO	InterPro:IPR023690	UniProtKB:A4TMT8			IPR023690	APPLIED	curator-reviewed replacement; taxon-agnostic semantic grounding
RpoH (sigma-32) heat-shock sigma factor	2			NO_CANDIDATE							no automated candidate; needs manual curation
Sox enzyme system	2			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
SulA	2	InterPro:IPR004596		CURATED_INTERPRO	InterPro:IPR004596	UniProtKB:A7MFW4			IPR004596	APPLIED	curator-reviewed replacement; taxon-agnostic semantic grounding
TrkAH K+ uptake system	2			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
Type I reaction center	2			REVIEW_GO_SUSPECT	GO:0009522		GO:0009522	photosystem I			top-hit failed the exactness check — likely wrong
bacterial adhesins	2			REVIEW_GO_SUSPECT	GO:0097347		GO:0097347	TAM protein secretion complex			top-hit failed the exactness check — likely wrong
bactofilin polymers	2			NO_CANDIDATE							no automated candidate; needs manual curation
bactofilins	2			NO_CANDIDATE							no automated candidate; needs manual curation
carboxysomal carbonic anhydrase	2			NO_CANDIDATE							no automated candidate; needs manual curation
cation/proton antiporter	2	GO:0051139		CURATED_GO	GO:0051139	UniProtKB:P39830	GO:0140968	polyspecific organic cation:proton antiporter activity		APPLIED	curator-reviewed replacement; taxon-agnostic semantic grounding
class A penicillin-binding proteins	2			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
cold-adapted enzymes	2			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
curvature scaffold	2			NO_CANDIDATE							no automated candidate; needs manual curation
czc cation-efflux system	2			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
dissolved inorganic carbon transporter	2			NO_CANDIDATE							no automated candidate; needs manual curation
endoglucanase	2			CANDIDATE_InterPro	IPR016282	UniProtKB:A0A023VXA2	GO:0008810	cellulase activity	IPR016282		family-level candidate; verify it is not a subunit/domain
flagellar motor	2			CANDIDATE_InterPro	IPR000090	UniProtKB:P35539	GO:0071945	regulation of bacterial-type flagellum-dependent cell motility by regulation of motor speed	IPR000090		family-level candidate; verify it is not a subunit/domain
gliding motility machinery	2			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
ice-binding/antifreeze proteins	2			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
methanol dehydrogenase	2			CANDIDATE_InterPro	IPR003420	UniProtKB:Q8KP10	GO:0050093	methanol dehydrogenase (NAD+) activity	IPR003420		family-level candidate; verify it is not a subunit/domain
multiheme c-type cytochromes	2			NO_CANDIDATE							no automated candidate; needs manual curation
penicillin-binding proteins	2			CLASS_NODE_DO_NOT_GROUND			GO:0008955	peptidoglycan glycosyltransferase activity			functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
peptidoglycan hydrolases	2			NO_CANDIDATE							no automated candidate; needs manual curation
persulfide dioxygenase (PDO)	2			NO_CANDIDATE							no automated candidate; needs manual curation
proton export pumps and antiporters	2			NO_CANDIDATE							no automated candidate; needs manual curation
pyruvate:ferredoxin oxidoreductase (PFOR)	2			REVIEW_GO_SUSPECT	GO:0019164		GO:0019164	pyruvate synthase activity			top-hit failed the exactness check — likely wrong
salinity-adaptation genes	2			CLASS_NODE_DO_NOT_GROUND			CL:0005006	ionocyte			functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
terminal oxidase	2			CURATED_LABEL_ONLY		UniProtKB:P97224	GO:0140647	P450-containing electron transport chain		RETRACTED	curator-reviewed retraction; no exact whole-protein, family, complex, or activity term
type III secretion system	2			CLASS_NODE_DO_NOT_GROUND		UniProtKB:O84944	GO:0030254	protein secretion by the type III secretion system	IPR001712		functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
2-oxoglutarate:ferredoxin oxidoreductase (OGOR/KOR)	1			NO_CANDIDATE							no automated candidate; needs manual curation
3-hexulose-6-phosphate synthase (Hps)	1			NO_CANDIDATE							no automated candidate; needs manual curation
ACS/CODH complex	1			REVIEW_GO_SUSPECT	GO:0044672		GO:0044672	acetyl-CoA decarbonylase/synthase-carbon monoxide dehydrogenase complex			top-hit failed the exactness check — likely wrong
APS reductase AprAB	1			NO_CANDIDATE							no automated candidate; needs manual curation
ATP sulfurylase (Sat)	1			NO_CANDIDATE							no automated candidate; needs manual curation
ATP synthase c-subunit alkaline-adaptive motifs	1			NO_CANDIDATE							no automated candidate; needs manual curation
ATP synthase complex	1			REVIEW_GO_SUSPECT	GO:0045259		GO:0045259	proton-transporting ATP synthase complex			top-hit failed the exactness check — likely wrong
Acr3 arsenite efflux permease	1			NO_CANDIDATE							no automated candidate; needs manual curation
ArcA/ArcAB two-component regulator	1			NO_CANDIDATE							no automated candidate; needs manual curation
ArcAB two-component system	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
ArsB arsenite efflux permease	1			NO_CANDIDATE							no automated candidate; needs manual curation
ArsM arsenite S-adenosylmethionine methyltransferase	1			NO_CANDIDATE							no automated candidate; needs manual curation
ArsR transcriptional repressor	1			NO_CANDIDATE							no automated candidate; needs manual curation
BAM complex	1			REVIEW_GO_SUSPECT	GO:1990063		GO:1990063	Bam protein complex			top-hit failed the exactness check — likely wrong
BCCT transporters	1			NO_CANDIDATE							no automated candidate; needs manual curation
BMC-H/T/P shell proteins	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
BacA-LmdC morphogenesis module	1			NO_CANDIDATE							no automated candidate; needs manual curation
BetA/BetB pathway	1			NO_CANDIDATE							no automated candidate; needs manual curation
CE15 glucuronoyl esterases	1			NO_CANDIDATE							no automated candidate; needs manual curation
CI master repressor	1			NO_CANDIDATE							no automated candidate; needs manual curation
CO dehydrogenase/acetyl-CoA synthase (CODH/ACS)	1			REVIEW_GO_SUSPECT	GO:0044672		GO:0044672	acetyl-CoA decarbonylase/synthase-carbon monoxide dehydrogenase complex			top-hit failed the exactness check — likely wrong
CO-insensitive terminal oxidase	1			NO_CANDIDATE							no automated candidate; needs manual curation
CPA/Nha family Na+/H+ antiporters	1			NO_CANDIDATE							no automated candidate; needs manual curation
CPD photolyase	1			CANDIDATE_SwissProt	UniProtKB:A9CJC9	UniProtKB:A9CJC9	GO:0003904	deoxyribodipyrimidine photo-lyase activity			reviewed entry; instance-level — pair with a taxon if used
CadA P-type (P1B) ATPase	1			NO_CANDIDATE							no automated candidate; needs manual curation
Cas proteins	1			CLASS_NODE_DO_NOT_GROUND			GO:0051897	positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction			functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
Cas1-Cas2 complex	1			NO_CANDIDATE							no automated candidate; needs manual curation
CbbR transcriptional regulator	1			NO_CANDIDATE							no automated candidate; needs manual curation
CcmA	1			CANDIDATE_InterPro	IPR005895	UniProtKB:P45032			IPR005895		family-level candidate; verify it is not a subunit/domain
CglA	1			CANDIDATE_InterPro	IPR057420				IPR057420		family-level candidate; verify it is not a subunit/domain
CglA glycopolymer ligase	1			NO_CANDIDATE							no automated candidate; needs manual curation
CheB methylesterase	1			REVIEW_GO_SUSPECT	GO:0008984		GO:0008984	protein-glutamate methylesterase activity			top-hit failed the exactness check — likely wrong
CheR methyltransferase	1			NO_CANDIDATE							no automated candidate; needs manual curation
CheW coupling protein	1			NO_CANDIDATE							no automated candidate; needs manual curation
CheY-P	1			CANDIDATE_InterPro	IPR038756	UniProtKB:Q9X006			IPR038756		family-level candidate; verify it is not a subunit/domain
CheZ phosphatase	1			NO_CANDIDATE							no automated candidate; needs manual curation
ComEA	1			CANDIDATE_InterPro	IPR004509				IPR004509		family-level candidate; verify it is not a subunit/domain
ComEC	1			CANDIDATE_InterPro	IPR004477				IPR004477		family-level candidate; verify it is not a subunit/domain
Complex I / NADH:quinone oxidoreductase (NDH-1)	1			NO_CANDIDATE							no automated candidate; needs manual curation
CooA	1			CURATED_LABEL_ONLY						RETRACTED	curator-reviewed retraction; no exact whole-protein, family, complex, or activity term
CotE	1	InterPro:IPR018901		CURATED_INTERPRO	InterPro:IPR018901	UniProtKB:P14016			IPR018901	APPLIED	curator-reviewed replacement; taxon-agnostic semantic grounding
CpxA/CpxR two-component system	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
CrtI (phytoene desaturase)	1			NO_CANDIDATE							no automated candidate; needs manual curation
CrtY (lycopene beta-cyclase)	1			NO_CANDIDATE							no automated candidate; needs manual curation
CrvA	1			CANDIDATE_InterPro	IPR058915				IPR058915		family-level candidate; verify it is not a subunit/domain
CrvA polymer	1			NO_CANDIDATE							no automated candidate; needs manual curation
CrvB	1			NO_CANDIDATE							no automated candidate; needs manual curation
Csd shape proteins	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
CsdA DEAD-box RNA helicase	1			NO_CANDIDATE							no automated candidate; needs manual curation
Cyc2	1			NO_CANDIDATE							no automated candidate; needs manual curation
CzcCBA RND efflux complex	1			NO_CANDIDATE							no automated candidate; needs manual curation
CzcCBA efflux complex	1			NO_CANDIDATE							no automated candidate; needs manual curation
CzcS/CzcR two-component system	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
DesK	1			CANDIDATE_InterPro	IPR056374	UniProtKB:O34757			IPR056374		family-level candidate; verify it is not a subunit/domain
DesR	1			CANDIDATE_SwissProt	UniProtKB:O34723	UniProtKB:O34723					reviewed entry; instance-level — pair with a taxon if used
DivIVA foci	1			NO_CANDIDATE							no automated candidate; needs manual curation
DivIVA polarisome	1			NO_CANDIDATE							no automated candidate; needs manual curation
DivIVA/Scy/FilP polarisome	1			NO_CANDIDATE							no automated candidate; needs manual curation
DmeF CDF-family exporter	1			NO_CANDIDATE							no automated candidate; needs manual curation
DnaK-DnaJ chaperone	1			NO_CANDIDATE							no automated candidate; needs manual curation
DnaK/DnaJ/GrpE and GroES/GroEL chaperone systems	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
DprA	1			CANDIDATE_InterPro	IPR003488	UniProtKB:Q8DPI7			IPR003488		family-level candidate; verify it is not a subunit/domain
DsrAB with DsrC	1			NO_CANDIDATE							no automated candidate; needs manual curation
DsrMK(JOP) membrane complex	1			NO_CANDIDATE							no automated candidate; needs manual curation
DyP-type peroxidase	1			CANDIDATE_InterPro	IPR006314				IPR006314		family-level candidate; verify it is not a subunit/domain
EctD (ectoine hydroxylase)	1			NO_CANDIDATE							no automated candidate; needs manual curation
F0F1-ATP synthase	1			REVIEW_GO_SUSPECT	GO:0046961		GO:0046961	proton-transporting ATPase activity, rotational mechanism			top-hit failed the exactness check — likely wrong
F0F1-ATPase / ATP synthase	1			REVIEW_GO_SUSPECT	GO:0046961		GO:0046961	proton-transporting ATPase activity, rotational mechanism			top-hit failed the exactness check — likely wrong
