label	target_curie	target_label	predicate_id	source	confidence	subject_types	object_types	notes
uses for respiration	METPO:2000019	uses for respiration	skos:exactMatch	METPO	high	*	*	exact label match against METPO ObjectProperty; organism + uses for respiration + CHEBI:chemical (electron acceptor) assertion
uses for aerobic growth	METPO:2000043	uses for aerobic growth	skos:exactMatch	METPO	high	*	*	exact label match against METPO ObjectProperty; paired-negative at METPO:2000022
does not use for aerobic growth	METPO:2000022	does not use for aerobic growth	skos:exactMatch	METPO	high	*	*	exact label match against METPO ObjectProperty; paired-negative-of uses for aerobic growth (METPO:2000043)
uses for aerobic catabolization	METPO:2000032	uses for aerobic catabolization	skos:exactMatch	METPO	high	*	*	exact label match against METPO ObjectProperty; paired-negative at METPO:2000021
does not use for aerobic catabolization	METPO:2000021	does not use for aerobic catabolization	skos:exactMatch	METPO	high	*	*	exact label match against METPO ObjectProperty; paired-negative-of uses for aerobic catabolization (METPO:2000032)
uses for anaerobic growth	METPO:2000049	uses for anaerobic growth	skos:exactMatch	METPO	high	*	*	exact label match against METPO ObjectProperty; paired-negative at METPO:2000024
does not use for anaerobic growth	METPO:2000024	does not use for anaerobic growth	skos:exactMatch	METPO	high	*	*	exact label match against METPO ObjectProperty; paired-negative-of uses for anaerobic growth (METPO:2000049)
uses for anaerobic growth in the dark	METPO:2000050	uses for anaerobic growth in the dark	skos:exactMatch	METPO	high	*	*	exact label match against METPO ObjectProperty; paired-negative at METPO:2000025; anaerobic dark-growth substrate
does not use for anaerobic growth in the dark	METPO:2000025	does not use for anaerobic growth in the dark	skos:exactMatch	METPO	high	*	*	exact label match against METPO ObjectProperty; paired-negative-of uses for anaerobic growth in the dark (METPO:2000050)
uses for anaerobic growth with light	METPO:2000051	uses for anaerobic growth with light	skos:exactMatch	METPO	high	*	*	exact label match against METPO ObjectProperty; paired-negative at METPO:2000026; photoanaerobic substrate
does not use for anaerobic growth with light	METPO:2000026	does not use for anaerobic growth with light	skos:exactMatch	METPO	high	*	*	exact label match against METPO ObjectProperty; paired-negative-of uses for anaerobic growth with light (METPO:2000051)
uses for anaerobic catabolization	METPO:2000048	uses for anaerobic catabolization	skos:exactMatch	METPO	high	*	*	exact label match against METPO ObjectProperty; paired-negative at METPO:2000023
does not use for anaerobic catabolization	METPO:2000023	does not use for anaerobic catabolization	skos:exactMatch	METPO	high	*	*	exact label match against METPO ObjectProperty; paired-negative-of uses for anaerobic catabolization (METPO:2000048)
inhibits	RO:0002212	negatively regulates	skos:closeMatch	RO	high	*	*	corpus 'X inhibits Y' = X negatively regulates Y
suppresses	RO:0002212	negatively regulates	skos:closeMatch	RO	high	*	*	synonym of inhibits; negative regulation
prevents	RO:0002212	negatively regulates	skos:closeMatch	RO	high	*	*	strong negative-regulation sense in causal graphs
decreases	RO:0002212	negatively regulates	skos:closeMatch	RO	medium	*	*	'X decreases Y' read as negative regulation of Y
limits	RO:0002212	negatively regulates	skos:closeMatch	RO	medium	*	*	'X limits Y' = caps/negatively regulates Y
promotes	RO:0002213	positively regulates	skos:closeMatch	RO	high	*	*	'X promotes Y' = positive regulation of Y
activates	RO:0002213	positively regulates	skos:closeMatch	RO	high	*	*	biological 'activates' = positively regulates
increases	RO:0002213	positively regulates	skos:closeMatch	RO	medium	*	*	'X increases Y' read as positive regulation of Y
modulates	RO:0002211	regulates	skos:closeMatch	RO	high	*	*	'modulates' = regulates (direction unspecified)
drives production of	biolink:produces	produces	skos:closeMatch	biolink	high	*	*	causal driver of a product; same family as grounded 'generates'
drives synthesis of	biolink:produces	produces	skos:closeMatch	biolink	high	*	*	synthesis = production
drives formation of	biolink:produces	produces	skos:closeMatch	biolink	high	*	*	formation = production
causes formation of	biolink:produces	produces	skos:closeMatch	biolink	high	*	*	formation = production
forms	biolink:produces	produces	skos:closeMatch	biolink	high	*	*	'X forms Y' = X produces Y
yields	biolink:produces	produces	skos:closeMatch	biolink	high	*	*	'X yields Y' = X produces Y
creates	biolink:produces	produces	skos:closeMatch	biolink	high	*	*	'X creates Y' = X produces Y
builds	biolink:produces	produces	skos:closeMatch	biolink	medium	*	*	'X builds Y' (e.g. polymer/structure) = produces Y
catalyzes formation of	biolink:catalyzes	catalyzes	skos:closeMatch	biolink	high	*	*	enzyme catalyzing product formation; same as grounded 'catalyzes'
includes	biolink:has_part	has part	skos:closeMatch	biolink	high	*	*	'whole includes part' = has_part
incorporated into	biolink:part_of	part of	skos:closeMatch	biolink	high	*	*	'X incorporated into Y' = X part_of Y (end state)
embedded in	biolink:located_in	located in	skos:closeMatch	biolink	high	*	*	'protein embedded in membrane' = located_in
can participate in	biolink:participates_in	participates in	skos:closeMatch	biolink	high	*	*	modal variant of grounded 'participates in'
interact with	biolink:interacts_with	interacts with	skos:closeMatch	biolink	high	*	*	plural/uninflected variant of grounded 'interacts with'
has function	RO:0000085	has function	skos:exactMatch	RO	high	*	*	exact label match against RO has-function
transfers electrons via	METPO:2007600	transfers electrons via	skos:exactMatch	METPO	high	*	*	proposed upstream in proposals/metpo_traitmech_v6; 2 edges, interspecies (H2/formate) electron shuttling in syntrophy
increases gradient of	METPO:2007601	imposes gradient of	skos:closeMatch	METPO	high	*	*	proposed upstream in proposals/metpo_traitmech_v6; 3 edges, acidophily proton-gradient contexts (variant of 'imposes gradient of')
imposes gradient of	METPO:2007601	imposes gradient of	skos:exactMatch	METPO	high	*	*	proposed upstream in proposals/metpo_traitmech_v6; 1 edge, pH-optimum proton-gradient context
couples electron flow to	METPO:2007602	couples electron flow to	skos:exactMatch	METPO	high	*	*	proposed upstream in proposals/metpo_traitmech_v6; 1 edge, respiratory ETC -> proton motive force
serves as electron donor and acceptor	METPO:2007603	serves as electron donor and acceptor	skos:exactMatch	METPO	high	*	*	proposed upstream in proposals/metpo_traitmech_v6; 1 edge, sulfur disproportionation
donates electrons to	METPO:2007403	transfers electrons to	skos:closeMatch	METPO	high	*	*	maps to existing proposals/metpo_traitmech_v2 predicate 'transfers electrons to'; lithotrophic donor -> ETC
provides electrons to	METPO:2007403	transfers electrons to	skos:closeMatch	METPO	high	*	*	maps to existing proposals/metpo_traitmech_v2 predicate 'transfers electrons to'; donor -> photosynthetic ET
provides electrons for	METPO:2007402	feeds electrons into	skos:closeMatch	METPO	high	*	*	maps to existing proposals/metpo_traitmech_v2 predicate 'feeds electrons into'; H2 -> Wood-Ljungdahl pathway
imports	METPO:2007805	imports	skos:closeMatch	METPO	high	GENE_OR_PROTEIN|MOLECULAR_FUNCTION	CHEMICAL	Repointed from METPO:2000208 by TraitMech#329. Sister of `exports`.
exports	METPO:2007804	exports	skos:closeMatch	METPO	high	GENE_OR_PROTEIN	CHEMICAL|GENE_OR_PROTEIN	Repointed from METPO:2000209 by TraitMech#329. RO models transport at the process level, so no RO relation admits the GENE_OR_PROTEIN subject these edges use.
accumulates	METPO:2007810	accumulates	skos:closeMatch	METPO	high	GENE_OR_PROTEIN|MOLECULAR_FUNCTION	CHEMICAL	Repointed from METPO:2000210 by TraitMech#329.
reduces	METPO:2007802	reduces	skos:closeMatch	METPO	high	BIOLOGICAL_PROCESS|CHEMICAL|GENE_OR_PROTEIN	CHEMICAL|GENE_OR_PROTEIN	Repointed from METPO:2000017 by TraitMech#329 and NARROWED to the redox sense by TraitMech#330. The corpus previously wrote two senses under this one label; the 11 edges meaning 'lessens/decreases' (membrane_lipid_remodeling reduces inward_proton_leakage and similar) were relabelled to `decreases` and grounded to RO:0002212, so every remaining edge is genuine electron donation and the gate now matches the definition. object_types admits GENE_OR_PROTEIN for exactly one edge, photosystem I reduces ferredoxin, which is redox despite the non-chemical object - which is why object type alone was never a safe classifier for the two senses.
degrades	METPO:2007809	degrades	skos:closeMatch	METPO	high	GENE_OR_PROTEIN	CELLULAR_LOCALIZATION|CHEMICAL	Repointed from METPO:2000007 by TraitMech#329. object_types admits CELLULAR_LOCALIZATION: one edge degrades a plant cell wall.
hydrolyzes	METPO:2007808	hydrolyzes	skos:closeMatch	METPO	high	GENE_OR_PROTEIN|MOLECULAR_FUNCTION	CHEMICAL	Repointed from METPO:2000013 by TraitMech#329, and scoped to the agent-to-substrate reading. The label `is hydrolyzed to` also grounds to METPO:2000013 in the corpus but reads substrate-to-product, so it is NOT migrated and has no row here; see #327.
disproportionates	METPO:2007811	disproportionates	skos:closeMatch	METPO	high	GENE_OR_PROTEIN	CHEMICAL	Repointed from METPO:2000200 by TraitMech#329.
does not produce	METPO:2007801	does not produce	skos:closeMatch	METPO	high	TRAIT	CHEMICAL	Repointed from METPO:2000222 by TraitMech#329. Paired negative of `produces`.
transports	METPO:2007812	transports	skos:closeMatch	METPO	high	PATHWAY	CHEMICAL	Repointed from METPO:2000207 by TraitMech#329. Direction-neutral; the single corpus edge does not specify one.
positively regulates	RO:0002213	positively regulates	skos:exactMatch	RO	high	*	*	"exact label match against RO; the corpus paraphrase ""promotes"" already maps here as a closeMatch, so the canonical label was the one left ungrounded"
negatively regulates	RO:0002212	negatively regulates	skos:exactMatch	RO	high	*	*	exact label match against RO; paired-positive at RO:0002213. Paraphrases inhibits/suppresses/prevents already map here as closeMatch
causally upstream of	RO:0002411	causally upstream of	skos:exactMatch	RO	high	BIOLOGICAL_PROCESS|PATHWAY|MOLECULAR_FUNCTION	BIOLOGICAL_PROCESS|PATHWAY|MOLECULAR_FUNCTION	"RO defines this over occurrents (""the end of p precedes the end of q, and p is not an occurrent part of q""), so it is constrained to process node types. All 13 corpus edges carrying this label connect material entities, so none are grounded — the constraint records WHY rather than leaving them silently residual (#235, #236)"
confers	METPO:2007700	confers	skos:closeMatch	METPO	high	BIOLOGICAL_PROCESS|GENE_OR_PROTEIN|ENVIRONMENTAL_FACTOR|QUALITY|CELLULAR_LOCALIZATION|PATHWAY|CHEMICAL|MOLECULAR_FUNCTION|STATE|CAPACITY	TRAIT	Proposed in proposals/metpo_traitmech_v8 (placeholder id, not yet minted upstream). Range-correct replacement for RO:0002327 on TRAIT objects: biolink gives enables the range 'biological process or activity', which a disposition cannot satisfy (#302). object_types is gated to TRAIT because that is the whole point of the term; subject_types lists the 10 node types actually observed across the 207 migrated edges (145 from #323, plus 62 more in #328, which is where CAPACITY entered), so a new subject kind has to be an explicit decision rather than a silent widening.
has electron donor	METPO:2007701	has electron donor	skos:closeMatch	METPO	high	TRAIT	CHEMICAL	Proposed in proposals/metpo_traitmech_v8 (placeholder id). Role-bearing sibling of METPO:2007702, restoring the donor/acceptor distinction collapsed by PR #300 (#303). Direction is trait -> chemical, which is what METPO:2000009 expressed before its inherited microbe domain made it unusable in causal graphs (#301). object_types=CHEMICAL enforces the 'a chemical species' clause of the definition, which the declared OWL range (METPO:1007401) deliberately does not.
has electron acceptor	METPO:2007702	has electron acceptor	skos:closeMatch	METPO	high	TRAIT	CHEMICAL	Proposed in proposals/metpo_traitmech_v8 (placeholder id). Role-bearing sibling of METPO:2007701; see that row. Gated identically: a MOLECULAR_FUNCTION node such as oxygen_preference's 'O2 as terminal electron acceptor' denotes the USE of O2 rather than O2 itself and is deliberately NOT admitted here (it grounds to confers instead).
has output	RO:0002234	has output	skos:exactMatch	RO	high	BIOLOGICAL_PROCESS|PATHWAY|MOLECULAR_FUNCTION	*	biolink gives has output domain 'biological process or activity' and range 'named thing', so an activity subject satisfies it and the object is unconstrained. Used for the 103 #301 edges whose subject IS an activity; the rest of the produces family takes METPO:2007800 (proposals/metpo_traitmech_v9) because a protein, trait or chemical subject cannot satisfy this domain. subject_types is gated to the three CausalNodeTypeEnum values that are activities, so a protein-subject edge is refused here rather than silently re-acquiring the same class of domain violation this migration exists to remove.
has carbon source	METPO:2007806	has carbon source	skos:closeMatch	METPO	high	TRAIT	CHEMICAL	Proposed in proposals/metpo_traitmech_v9 (placeholder id). Trait -> chemical role relation replacing METPO:2000006 (uses as carbon source), which inherits rdfs:domain microbe via METPO:2000001 (#301). Relabelled from 'uses as' because the subject is the trait rather than the organism, matching the v8 has electron donor/acceptor pair.
has energy source	METPO:2007807	has energy source	skos:closeMatch	METPO	high	TRAIT	CHEMICAL|ENVIRONMENTAL_FACTOR	Proposed in proposals/metpo_traitmech_v9 (placeholder id). Sister of METPO:2007806, replacing METPO:2000010 (#301). object_types is deliberately wider than its sibling: 6 of the 8 corpus edges point at an ENVIRONMENTAL_FACTOR (light), which is an energy source but not a chemical entity.
derives into	RO:0001001	derives into	skos:exactMatch	RO	high	CHEMICAL	CHEMICAL	biolink:derives_into (exact_mapping RO:0001001) holds between two material entities where the new begins to exist as the old ceases and inherits the significant portion of its matter - i.e. substrate-to-product chemistry. Used for the disproportionation pair (thiosulfate -> sulfate and -> sulfide), which previously sat on `produces` with a CHEMICAL subject: a chemical does not bring another into existence the way an agent does. METPO:2007405 (oxidized to, proposals v2) was considered for the sulfate half and rejected - it fits only the oxidised half, splitting a matched pair from one reaction, and it is an unminted placeholder where RO:0001001 is real. RO:0001001 declares no domain, so no causal node type is excluded (#327).
is hydrolyzed to	RO:0001001	derives into	skos:closeMatch	RO	high	CHEMICAL	CHEMICAL	Substrate-to-product hydrolysis: cellulose -> cellobiose. Grounded to RO:0001001 rather than METPO:2000013 (hydrolyzes), which reads agent-to-substrate, so the previous grounding asserted that cellulose hydrolyses cellobiose (#327). closeMatch not exactMatch because the corpus label names the mechanism (hydrolysis) while RO:0001001 is the general transformation relation; the label is kept for that extra specificity. This is the last of the 366 #301 edges.
has input	RO:0002233	has input	skos:exactMatch	RO	high	BIOLOGICAL_PROCESS|PATHWAY|MOLECULAR_FUNCTION	*	biolink gives has input domain 'biological process or activity' and range 'named thing', the inverse companion of RO:0002234 already used here. subject_types is gated to the three activity node types for the same reason has output is: a non-activity subject cannot satisfy the domain. Added in #331 to model the acetate kinase step explicitly rather than asserting that a chemical produces ATP.
