surface	source	record_paths	occurrences	label	semantic_type	target_curie	ontology_label	label_match	target_label	target_label_match	declared_exact_synonyms	asserted_predicate	status
mapping	mappings/node_grounding.tsv:18		1	peptidoglycan synthesis	BIOLOGICAL_PROCESS	GO:0009252	peptidoglycan biosynthetic process	EXACT_SYNONYM	peptidoglycan biosynthetic process	CANONICAL_LABEL	murein biosynthesis | murein biosynthetic process | peptidoglycan anabolism | peptidoglycan biosynthesis | peptidoglycan formation | peptidoglycan synthesis	skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:19		1	methanogenesis	BIOLOGICAL_PROCESS	GO:0015948	methanogenesis	CANONICAL_LABEL	methanogenesis	CANONICAL_LABEL	methane biosynthesis | methane biosynthetic process	skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:20		1	aerobic respiration	BIOLOGICAL_PROCESS	GO:0009060	aerobic respiration	CANONICAL_LABEL	aerobic respiration	CANONICAL_LABEL		skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:21		1	anaerobic respiration	BIOLOGICAL_PROCESS	GO:0009061	anaerobic respiration	CANONICAL_LABEL	anaerobic respiration	CANONICAL_LABEL		skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:22		1	photosynthesis	BIOLOGICAL_PROCESS	GO:0015979	photosynthesis	CANONICAL_LABEL	photosynthesis	CANONICAL_LABEL		skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:23		1	nitrogen fixation	BIOLOGICAL_PROCESS	GO:0009399	nitrogen fixation	CANONICAL_LABEL	nitrogen fixation	CANONICAL_LABEL		skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:24		1	fermentation	BIOLOGICAL_PROCESS	GO:0006113	fermentation	CANONICAL_LABEL	fermentation	CANONICAL_LABEL		skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:25		1	carbon fixation	BIOLOGICAL_PROCESS	GO:0015977	carbon fixation	CANONICAL_LABEL	carbon fixation	CANONICAL_LABEL	autotrophic CO2 fixation | autotrophic CO2 fixation pathway | autotrophy	skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:26		1	oxidative phosphorylation	BIOLOGICAL_PROCESS	GO:0006119	oxidative phosphorylation	CANONICAL_LABEL	oxidative phosphorylation	CANONICAL_LABEL	respiratory-chain phosphorylation	skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:27		1	cytoplasmic ph homeostasis	BIOLOGICAL_PROCESS	GO:0051453	regulation of intracellular pH	NO_EXACT_LABEL_MATCH	regulation of intracellular pH	CANONICAL_LABEL	cell pH regulation | cellular hydrogen ion homeostasis | cellular pH regulation | pH regulation in cell | proton homeostasis | regulation of cell pH | regulation of cellular pH	skos:closeMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:28		1	osmotic stress	BIOLOGICAL_PROCESS	GO:0006970	response to osmotic stress	NO_EXACT_LABEL_MATCH	response to osmotic stress	CANONICAL_LABEL	osmotic response | osmotic stress response	skos:closeMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:29		1	periplasmic space	CELLULAR_LOCALIZATION	GO:0042597	periplasmic space	CANONICAL_LABEL	periplasmic space	CANONICAL_LABEL	periplasm	skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:30		1	outer membrane	CELLULAR_LOCALIZATION	GO:0019867	outer membrane	CANONICAL_LABEL	outer membrane	CANONICAL_LABEL		skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:31		1	plasma membrane	CELLULAR_LOCALIZATION	GO:0005886	plasma membrane	CANONICAL_LABEL	plasma membrane	CANONICAL_LABEL	cell membrane | cellular membrane | cytoplasmic membrane | plasmalemma	skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:32		1	cytoplasm	CELLULAR_LOCALIZATION	GO:0005737	cytoplasm	CANONICAL_LABEL	cytoplasm	CANONICAL_LABEL		skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:33		1	kinase reaction	MOLECULAR_FUNCTION	GO:0016301	kinase activity	NO_EXACT_LABEL_MATCH	kinase activity	CANONICAL_LABEL	phosphokinase activity	skos:closeMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:34		1	redox reaction	MOLECULAR_FUNCTION	GO:0016491	oxidoreductase activity	NO_EXACT_LABEL_MATCH	oxidoreductase activity	CANONICAL_LABEL	redox activity	skos:closeMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:35		1	respiratory chain	PATHWAY	GO:0022904	respiratory electron transport chain	NO_EXACT_LABEL_MATCH	respiratory electron transport chain	CANONICAL_LABEL	electron transfer	skos:closeMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:36		1	photosynthetic electron transport	PATHWAY	GO:0009767	photosynthetic electron transport chain	NO_EXACT_LABEL_MATCH	photosynthetic electron transport chain	CANONICAL_LABEL	electron carrier, chlorophyll electron transport system	skos:exactMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:37		1	calvin-benson cycle	PATHWAY	GO:0019253	reductive pentose-phosphate cycle	NO_EXACT_LABEL_MATCH	reductive pentose-phosphate cycle	CANONICAL_LABEL		skos:exactMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:38		1	wood-ljungdahl pathway	PATHWAY	GO:0030634	carbon fixation by acetyl-CoA pathway	NO_EXACT_LABEL_MATCH	carbon fixation by acetyl-CoA pathway	CANONICAL_LABEL	Ljungdahl-Wood pathway | reductive acetyl CoA pathway	skos:closeMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:39		1	light	ENVIRONMENTAL_FACTOR	PATO:0001717	radiation emitting intensity quality	NO_EXACT_LABEL_MATCH	light intensity	NO_EXACT_LABEL_MATCH		skos:closeMatch	TARGET_LABEL_MISMATCH
mapping	mappings/node_grounding.tsv:40		1	low temperature	ENVIRONMENTAL_FACTOR	PATO:0001306	decreased temperature	EXACT_SYNONYM	decreased temperature	CANONICAL_LABEL	cold | low temperature	skos:closeMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:41		1	anaerobic condition	ENVIRONMENTAL_FACTOR	PATO:0001456	anaerobic	NO_EXACT_LABEL_MATCH	anaerobic	CANONICAL_LABEL		skos:closeMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:42		1	anoxic condition	ENVIRONMENTAL_FACTOR	PATO:0001456	anaerobic	NO_EXACT_LABEL_MATCH	anaerobic	CANONICAL_LABEL		skos:closeMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:43		1	carotenoid biosynthesis	BIOLOGICAL_PROCESS	GO:0016117	carotenoid biosynthetic process	EXACT_SYNONYM	carotenoid biosynthetic process	CANONICAL_LABEL	carotenoid anabolism | carotenoid biosynthesis | carotenoid formation | carotenoid synthesis	skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:44		1	proton motive force	STATE	METPO:1007500			proton motive force			skos:exactMatch	TERM_NOT_FOUND
mapping	mappings/node_grounding.tsv:45		1	biomass	CHEMICAL	METPO:1007501			microbial biomass			skos:closeMatch	TERM_NOT_FOUND
mapping	mappings/node_grounding.tsv:46		1	inorganic electron donor	CHEMICAL	METPO:1007502			inorganic electron donor			skos:exactMatch	TERM_NOT_FOUND
mapping	mappings/node_grounding.tsv:47		1	reducing power	CAPACITY	METPO:1007503			reducing power			skos:exactMatch	TERM_NOT_FOUND
mapping	mappings/node_grounding.tsv:48		1	terminal electron acceptor	CHEMICAL	METPO:1007504			terminal electron acceptor			skos:exactMatch	TERM_NOT_FOUND
mapping	mappings/node_grounding.tsv:49		1	terminal electron acceptor	MOLECULAR_FUNCTION	METPO:1007504			terminal electron acceptor			skos:exactMatch	TERM_NOT_FOUND
mapping	mappings/node_grounding.tsv:50		1	membrane fluidity	QUALITY	METPO:1007505			membrane fluidity			skos:exactMatch	TERM_NOT_FOUND
mapping	mappings/node_grounding.tsv:51		1	ftsz	GENE_OR_PROTEIN	InterPro:IPR000158			Cell division protein FtsZ			skos:closeMatch	NO_DIRECT_SOURCE
mapping	mappings/node_grounding.tsv:52		1	diviva	GENE_OR_PROTEIN	InterPro:IPR007793			DivIVA			skos:closeMatch	NO_DIRECT_SOURCE
mapping	mappings/node_grounding.tsv:53		1	cation/proton antiporter	GENE_OR_PROTEIN	GO:0051139	metal cation:proton antiporter activity	NO_EXACT_LABEL_MATCH	metal cation:proton antiporter activity	CANONICAL_LABEL	metal ion:hydrogen antiporter activity | metal ion:proton antiporter activity	skos:closeMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:54		1	type iv pilus	GENE_OR_PROTEIN	GO:0044096	type IV pilus	CANONICAL_LABEL	type IV pilus	CANONICAL_LABEL	TFP | type 4 pilus | type IV fimbriae	skos:closeMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:55		1	superoxide dismutase	GENE_OR_PROTEIN	GO:0004784	superoxide dismutase activity	NO_EXACT_LABEL_MATCH	superoxide dismutase activity	CANONICAL_LABEL	superoxide:superoxide oxidoreductase activity	skos:closeMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:56		1	reverse gyrase	GENE_OR_PROTEIN	GO:0160097	reverse gyrase activity	NO_EXACT_LABEL_MATCH	reverse gyrase activity	CANONICAL_LABEL		skos:closeMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:57		1	cytochrome c oxidase	GENE_OR_PROTEIN	GO:0045277	respiratory chain complex IV	NO_EXACT_LABEL_MATCH	respiratory chain complex IV	CANONICAL_LABEL	cytochrome c oxidase complex	skos:closeMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:58		1	methyl-coenzyme m reductase	GENE_OR_PROTEIN	GO:0044674	methyl coenzyme M reductase complex	NO_EXACT_LABEL_MATCH	methyl coenzyme M reductase complex	CANONICAL_LABEL		skos:closeMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:59		1	acetate kinase	GENE_OR_PROTEIN	GO:0008776	acetate kinase activity	NO_EXACT_LABEL_MATCH	acetate kinase activity	CANONICAL_LABEL		skos:closeMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:60		1	4-hydroxyphenylpyruvate dioxygenase	GENE_OR_PROTEIN	GO:0003868	4-hydroxyphenylpyruvate dioxygenase activity	NO_EXACT_LABEL_MATCH	4-hydroxyphenylpyruvate dioxygenase activity	CANONICAL_LABEL		skos:closeMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:61		1	scy	GENE_OR_PROTEIN	InterPro:IPR048240			Polarized growth protein Scy			skos:closeMatch	NO_DIRECT_SOURCE
mapping	mappings/node_grounding.tsv:62		1	flab	GENE_OR_PROTEIN	InterPro:IPR001492			Flagellin			skos:closeMatch	NO_DIRECT_SOURCE
mapping	mappings/node_grounding.tsv:63		1	ammonia monooxygenase	GENE_OR_PROTEIN	GO:0018597	ammonia monooxygenase activity	NO_EXACT_LABEL_MATCH	ammonia monooxygenase activity	CANONICAL_LABEL		skos:closeMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:64		1	methane monooxygenase	GENE_OR_PROTEIN	GO:0015050	methane monooxygenase complex	NO_EXACT_LABEL_MATCH	methane monooxygenase complex	CANONICAL_LABEL		skos:closeMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:65		1	acidic external ph	ENVIRONMENTAL_FACTOR	PATO:0001429	acidic	NO_EXACT_LABEL_MATCH	acidic	CANONICAL_LABEL		skos:closeMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:66		1	alkaline external ph	ENVIRONMENTAL_FACTOR	PATO:0001430	alkaline	NO_EXACT_LABEL_MATCH	alkaline	CANONICAL_LABEL		skos:closeMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:67		1	near-neutral external ph	ENVIRONMENTAL_FACTOR	PATO:0001428	medium acidity	NO_EXACT_LABEL_MATCH	medium acidity	CANONICAL_LABEL		skos:closeMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:68		1	very high temperature	ENVIRONMENTAL_FACTOR	PATO:0001305	increased temperature	NO_EXACT_LABEL_MATCH	increased temperature	CANONICAL_LABEL	high temperature | hot	skos:closeMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:69		1	high-salt environment	ENVIRONMENTAL_FACTOR	ENVO:01001040	saline environment	NO_EXACT_LABEL_MATCH	saline environment	CANONICAL_LABEL		skos:closeMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:70		1	thiosulfate	CHEMICAL	CHEBI:16094	thiosulfate(2-)	EXACT_SYNONYM	thiosulfate(2-)	CANONICAL_LABEL	sulfurothioate | Thiosulfate | thiosulfate | trioxidosulfidosulfate(2-)	skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:71		1	electron donor	CHEMICAL	CHEBI:15022	electron donor	CANONICAL_LABEL	electron donor	CANONICAL_LABEL	electron donor	skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:72		1	organic compound	CHEMICAL	CHEBI:50860	organic molecular entity	NO_EXACT_LABEL_MATCH	organic molecular entity	CANONICAL_LABEL		skos:closeMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:73		1	membrane electron transport chain	PATHWAY	GO:0022900	electron transport chain	NO_EXACT_LABEL_MATCH	electron transport chain	CANONICAL_LABEL		skos:closeMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:74		1	electron transport chain	PATHWAY	GO:0022900	electron transport chain	CANONICAL_LABEL	electron transport chain	CANONICAL_LABEL		skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:75		1	electron transport system	PATHWAY	GO:0022900	electron transport chain	NO_EXACT_LABEL_MATCH	electron transport chain	CANONICAL_LABEL		skos:closeMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:76		1	co2-fixation pathway	PATHWAY	GO:0015977	carbon fixation	NO_EXACT_LABEL_MATCH	carbon fixation	CANONICAL_LABEL	autotrophic CO2 fixation | autotrophic CO2 fixation pathway | autotrophy	skos:closeMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:77		1	autotrophic co2 fixation	PATHWAY	GO:0015977	carbon fixation	EXACT_SYNONYM	carbon fixation	CANONICAL_LABEL	autotrophic CO2 fixation | autotrophic CO2 fixation pathway | autotrophy	skos:closeMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:78		1	co2 fixation pathway	PATHWAY	GO:0015977	carbon fixation	NO_EXACT_LABEL_MATCH	carbon fixation	CANONICAL_LABEL	autotrophic CO2 fixation | autotrophic CO2 fixation pathway | autotrophy	skos:closeMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:79		1	rubisco	GENE_OR_PROTEIN	InterPro:IPR033966			RuBisCO			skos:closeMatch	NO_DIRECT_SOURCE
mapping	mappings/node_grounding.tsv:80		1	organic molecule	CHEMICAL	CHEBI:72695	organic molecule	CANONICAL_LABEL	organic molecule	CANONICAL_LABEL		skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:81		1	staphyloxanthin	CHEMICAL	CHEBI:71690	staphyloxanthin	CANONICAL_LABEL	staphyloxanthin	CANONICAL_LABEL	1-O-[(2E,4E,6E,8E,10E,12E,14E,16E,18E)-2,6,10,15,19,23-hexamethyltetracosa-2,4,6,8,10,12,14,16,18,22-decaenoyl]-6-O-(12-methyltetradecanoyl)-beta-D-glucopyranose	skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:82		1	bacteriochlorophyll	CHEMICAL	CHEBI:38201	bacteriochlorophyll	CANONICAL_LABEL	bacteriochlorophyll	CANONICAL_LABEL		skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:83		1	homogentisic acid	CHEMICAL	CHEBI:44747	homogentisic acid	CANONICAL_LABEL	homogentisic acid	CANONICAL_LABEL	(2,5-dihydroxyphenyl)acetic acid	skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:84		1	crystal violet	CHEMICAL	CHEBI:41688	crystal violet	CANONICAL_LABEL	crystal violet	CANONICAL_LABEL	4-{bis[4-(dimethylamino)phenyl]methylene}-N,N-dimethylcyclohexa-2,5-dien-1-iminium chloride	skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:85		1	prodigiosin	CHEMICAL	CHEBI:82758	prodigiosin	CANONICAL_LABEL	prodigiosin	CANONICAL_LABEL	4-methoxy-5-[(Z)-(5-methyl-4-pentyl-2H-pyrrol-2-ylidene)methyl]-1H,1'H-2,2'-bipyrrole	skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:86		1	dipicolinic acid	CHEMICAL	CHEBI:46837	dipicolinic acid	CANONICAL_LABEL	dipicolinic acid	CANONICAL_LABEL	PYRIDINE-2,6-DICARBOXYLIC ACID | pyridine-2,6-dicarboxylic acid	skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:87		1	hydroxylamine	CHEMICAL	CHEBI:15429	hydroxylamine	CANONICAL_LABEL	hydroxylamine	CANONICAL_LABEL	dihydridohydroxidonitrogen | Hydroxylamine | hydroxylamine	skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:88		1	autoinducer	CHEMICAL	CHEBI:71338	autoinducer	CANONICAL_LABEL	autoinducer	CANONICAL_LABEL		skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:89		1	nitrogen oxides	CHEMICAL	CHEBI:35196	nitrogen oxide	NO_EXACT_LABEL_MATCH	nitrogen oxide	CANONICAL_LABEL		skos:closeMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:90		1	adp	CHEMICAL	CHEBI:16761	ADP	CANONICAL_LABEL	ADP	CANONICAL_LABEL	adenosine 5'-(trihydrogen diphosphate) | Adenosine 5'-diphosphate	skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:91		1	nadph	CHEMICAL	CHEBI:16474	NADPH	CANONICAL_LABEL	NADPH	CANONICAL_LABEL	2'-O-phosphonoadenosine 5'-{3-[1-(3-carbamoyl-1,4-dihydropyridin-1-yl)-1,4-anhydro-D-ribitol-5-yl] dihydrogen diphosphate}	skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:92		1	lipopolysaccharide	CHEMICAL	CHEBI:16412	lipopolysaccharide	CANONICAL_LABEL	lipopolysaccharide	CANONICAL_LABEL		skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:93		1	elemental sulfur	CHEMICAL	CHEBI:26833	sulfur atom	NO_EXACT_LABEL_MATCH	sulfur	EXACT_SYNONYM	sulfur	skos:closeMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:94		1	acetyl phosphate	CHEMICAL	CHEBI:15350	acetyl dihydrogen phosphate	EXACT_SYNONYM	acetyl phosphate	EXACT_SYNONYM	(acetyloxy)phosphonic acid | acetic phosphoric monoanhydride | Acetyl phosphate	skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:95		1	coenzyme f430	CHEMICAL	CHEBI:28265	coenzyme F430	CANONICAL_LABEL	coenzyme F430	CANONICAL_LABEL	{3,3',3''-[5-(2-amino-2-oxoethyl)-18,29-bis(carboxymethyl)-5,23-dimethyl-14,25-dioxo-9,26,27,28,30-pentaazaheptacyclo[19.5.1.1(3,6).1(8,11).1(16,19).0(1,23).0(10,15)]triaconta-6(30),9,15,19,21(27)-pentaene-4,17,22-triyl-kappa(4)N(9),N(27),N(28),N(30)]tripropanoato}nickel	skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:96		1	cellular growth	BIOLOGICAL_PROCESS	GO:0016049	cell growth	EXACT_SYNONYM	cell growth	CANONICAL_LABEL	cellular growth | growth of cell	skos:closeMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:97		1	melanin biosynthesis	BIOLOGICAL_PROCESS	GO:0042438	melanin biosynthetic process	EXACT_SYNONYM	melanin biosynthetic process	CANONICAL_LABEL	melanin anabolism | melanin biosynthesis | melanin formation | melanin synthesis	skos:closeMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:98		1	tyrosine catabolism	BIOLOGICAL_PROCESS	GO:0006572	L-tyrosine catabolic process	EXACT_SYNONYM	L-tyrosine catabolic process	CANONICAL_LABEL	tyrosine breakdown | tyrosine catabolism | tyrosine degradation	skos:closeMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:99		1	cytokinesis	BIOLOGICAL_PROCESS	GO:0000910	cytokinesis	CANONICAL_LABEL	cytokinesis	CANONICAL_LABEL	cell cycle cytokinesis | cytokinesis involved in cell cycle	skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:100		1	pigment biosynthesis	BIOLOGICAL_PROCESS	GO:0046148	pigment biosynthetic process	EXACT_SYNONYM	pigment biosynthetic process	CANONICAL_LABEL	pigment anabolism | pigment biosynthesis | pigment formation | pigment synthesis	skos:closeMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:101		1	nutrient sensing	BIOLOGICAL_PROCESS	GO:0009594	detection of nutrient	NO_EXACT_LABEL_MATCH	detection of nutrient	CANONICAL_LABEL	detection of nutrients	skos:closeMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:102		1	sulfur oxidation	BIOLOGICAL_PROCESS	GO:0019417	sulfur oxidation	CANONICAL_LABEL	sulfur oxidation	CANONICAL_LABEL	sulphur oxidation	skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:103		1	flagellar filament	CELLULAR_LOCALIZATION	GO:0009420	bacterial-type flagellum filament	EXACT_SYNONYM	bacterial-type flagellum filament	CANONICAL_LABEL	flagellar filament | flagellin-based flagellum filament	skos:closeMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:104		1	flagellar hook	CELLULAR_LOCALIZATION	GO:0009424	bacterial-type flagellum hook	EXACT_SYNONYM	bacterial-type flagellum hook	CANONICAL_LABEL	flagellar hook | flagellin-based flagellum hook	skos:closeMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:105		1	forespore	CELLULAR_LOCALIZATION	GO:0042763	intracellular immature spore	NO_EXACT_LABEL_MATCH	intracellular immature spore	CANONICAL_LABEL		skos:closeMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:106		1	formaldehyde assimilation	PATHWAY	GO:0019649	formaldehyde assimilation	CANONICAL_LABEL	formaldehyde assimilation	CANONICAL_LABEL		skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:107		1	high temperature	ENVIRONMENTAL_FACTOR	PATO:0001305	increased temperature	EXACT_SYNONYM	increased temperature	CANONICAL_LABEL	high temperature | hot	skos:closeMatch	EXACT_LEXICAL
