predicate_label	edge_count	status	blocked_by	example_files
determines	8	unmapped		data/traits/ecology/mutualism.yaml|data/traits/environment/facultatively_aerobic.yaml|data/traits/environment/ph_delta_low.yaml
inactivates	8	unmapped		data/traits/environment/facultatively_aerobic.yaml|data/traits/environment/obligately_aerobic.yaml|data/traits/environment/obligately_anaerobic.yaml
precursor of	8	unmapped		data/traits/metabolism/acetogenesis.yaml|data/traits/morphology/green_pigmented.yaml|data/traits/morphology/pigmentation.yaml
recruits	8	unmapped		data/traits/morphology/axially_filamented.yaml|data/traits/morphology/coccus_shaped.yaml|data/traits/morphology/filament_shaped.yaml
upregulates	7	unmapped		data/traits/environment/nacl_delta_mid2.yaml|data/traits/environment/nacl_optimum_mid2.yaml|data/traits/environment/oxygen_preference.yaml
engages	7	unmapped		data/traits/environment/nacl_optimum_mid1.yaml|data/traits/environment/ph_optimum_mid2.yaml|data/traits/environment/temperature_optimum_low.yaml
positively influences	7	unmapped		data/traits/genomics/gc_mid2.yaml|data/traits/morphology/oval_shaped.yaml
is substrate for	7	unmapped		data/traits/metabolism/ethanol_fermentation.yaml|data/traits/metabolism/manganese_oxidation.yaml|data/traits/morphology/carotenoid_pigmentation.yaml
triggers	6	unmapped		data/traits/ecology/symbiosis.yaml|data/traits/environment/stenohaline.yaml|data/traits/morphology/polyhydroxyalkanoate_granule.yaml
cleaves	6	unmapped		data/traits/environment/mercury_tolerant.yaml|data/traits/genomics/crispr_cas_system.yaml|data/traits/genomics/restriction_modification_system.yaml
increases abundance of	6	unmapped		data/traits/environment/obligately_alkaphilic.yaml|data/traits/environment/piezotolerant.yaml|data/traits/environment/temperature_delta_mid2.yaml
initiates	6	unmapped		data/traits/metabolism/photosynthesis.yaml|data/traits/morphology/sporulation.yaml|data/traits/physiology/photoheterotrophic.yaml
synthesizes	5	unmapped		data/traits/ecology/biofilm_formation.yaml|data/traits/morphology/intracellular_inclusion.yaml|data/traits/morphology/ovoid_shaped.yaml
protects	5	unmapped		data/traits/environment/extreme_hyperthermophilic.yaml|data/traits/environment/piezotolerant.yaml|data/traits/environment/psychrotolerant.yaml
provides	5	unmapped		data/traits/environment/haloalkaliphilic.yaml|data/traits/environment/psychrotolerant.yaml|data/traits/environment/temperature_range_low.yaml
results in	5	unmapped		data/traits/environment/nacl_range_high.yaml|data/traits/environment/zinc_tolerant.yaml|data/traits/morphology/ellipsoidal.yaml
enhances	5	unmapped		data/traits/environment/ph_optimum_high.yaml|data/traits/morphology/carboxysome.yaml|data/traits/physiology/heterotrophic.yaml
guides	5	unmapped		data/traits/genomics/crispr_cas_system.yaml|data/traits/morphology/curved_shaped.yaml|data/traits/morphology/fusiform_shaped.yaml
catalyzes conversion of	5	unmapped		data/traits/metabolism/dicarboxylate_four_hydroxybutyrate_cycle.yaml|data/traits/metabolism/mixed_acid_fermentation.yaml|data/traits/morphology/black_pigmented.yaml
positions	5	unmapped		data/traits/morphology/cell_length_small.yaml|data/traits/morphology/cell_shape.yaml|data/traits/morphology/oval_shaped.yaml
coupled to reduction of	5	unmapped		data/traits/physiology/carboxydotrophic.yaml|data/traits/physiology/hydrogenotrophic.yaml
acts as	4	unmapped		data/traits/environment/aerobic.yaml|data/traits/environment/temperature_optimum_very_low.yaml|data/traits/metabolism/anaerobic_respiration.yaml
detoxifies	4	unmapped		data/traits/environment/aerobic.yaml|data/traits/environment/anaerobic.yaml|data/traits/environment/microaerophilic.yaml
damages	4	unmapped		data/traits/environment/anaerobic.yaml|data/traits/environment/obligately_anaerobic.yaml|data/traits/environment/strictly_anaerobic.yaml
activates transcription of	4	unmapped		data/traits/environment/cobalt_tolerant.yaml|data/traits/environment/temperature_range_mid3.yaml|data/traits/metabolism/calvin_benson_bassham_cycle.yaml
activates expression of	4	unmapped		data/traits/environment/mesophilic.yaml|data/traits/metabolism/dissimilatory_nitrate_reduction_to_ammonium.yaml|data/traits/physiology/bioluminescence.yaml
induces accumulation of	4	unmapped		data/traits/environment/nacl_optimum_mid1.yaml|data/traits/environment/piezophilic.yaml|data/traits/environment/piezotolerant.yaml
has characteristic	4	unmapped		data/traits/environment/obligately_piezophilic.yaml|data/traits/physiology/persister_cell_formation.yaml
supplies	4	unmapped		data/traits/environment/ph_range_high.yaml|data/traits/physiology/bioluminescence.yaml|data/traits/physiology/heterotrophic.yaml
phosphorylates	4	unmapped		data/traits/environment/temperature_range_mid3.yaml|data/traits/morphology/motile.yaml|data/traits/physiology/chemotaxis.yaml
causally promotes	4	unmapped		data/traits/genomics/gc_high.yaml
shapes	4	unmapped		data/traits/genomics/gc_low.yaml|data/traits/genomics/pangenome_openness.yaml|data/traits/morphology/cell_shape.yaml
positively associated with	4	unmapped		data/traits/genomics/genome_size.yaml|data/traits/genomics/pangenome_openness.yaml|data/traits/genomics/rrna_operon_copy_number.yaml
reduced to	4	unmapped		data/traits/metabolism/aerobic_respiration.yaml|data/traits/metabolism/disproportionation.yaml|data/traits/metabolism/dissimilatory_nitrate_reduction_to_ammonium.yaml
contains	4	unmapped		data/traits/metabolism/calvin_benson_bassham_cycle.yaml|data/traits/metabolism/cellulolysis.yaml|data/traits/physiology/autotrophic.yaml
uses substrate	4	unmapped		data/traits/metabolism/carbon_fixation.yaml|data/traits/physiology/chemoautotrophic.yaml|data/traits/physiology/methanotrophic.yaml
realizes	4	unmapped		data/traits/metabolism/metabolism.yaml|data/traits/morphology/axially_filamented.yaml|data/traits/morphology/gliding.yaml
has part	4	unmapped		data/traits/metabolism/wood_ljungdahl_pathway.yaml|data/traits/morphology/red_pigmented.yaml|data/traits/physiology/photolithoautotrophic.yaml
stimulates GTPase activity of	4	unmapped		data/traits/morphology/amphitrichous.yaml|data/traits/morphology/flagellar_arrangement.yaml|data/traits/morphology/lophotrichous.yaml
organizes	4	unmapped		data/traits/morphology/cell_length_small.yaml|data/traits/morphology/cell_shape.yaml|data/traits/morphology/magnetosome.yaml
establishes	4	unmapped		data/traits/morphology/flagellar_arrangement.yaml|data/traits/morphology/spiral_shaped.yaml|data/traits/morphology/spore_shaped.yaml
favors	4	unmapped		data/traits/morphology/magnetosome.yaml|data/traits/physiology/oligotrophic.yaml
can proceed through	4	unmapped		data/traits/physiology/chemoheterotrophic.yaml|data/traits/physiology/chemoorganoheterotrophic.yaml
assimilated into	4	unmapped		data/traits/physiology/chemoorganotrophic.yaml|data/traits/physiology/organoheterotrophic.yaml|data/traits/physiology/photoheterotrophic.yaml
requires containment level	3	unmapped		data/traits/ecology/biosafety_level_4.yaml
confers	3	blocked_by_node_type	METPO:2007700	data/traits/ecology/commensalism.yaml|data/traits/morphology/spirochete_shaped.yaml|data/traits/morphology/sporulation.yaml
leads to	3	unmapped		data/traits/ecology/endosymbiosis.yaml|data/traits/morphology/spore_shaped.yaml|data/traits/physiology/chemoorganotrophic.yaml
delivers	3	unmapped		data/traits/ecology/pathogenic_to_host.yaml|data/traits/ecology/plant_pathogen.yaml
depolymerizes	3	unmapped		data/traits/ecology/saprotrophy.yaml|data/traits/metabolism/biopolymer_degradation.yaml
predicts	3	unmapped		data/traits/ecology/soil_dwelling.yaml|data/traits/morphology/gliding.yaml|data/traits/morphology/non_spore_forming.yaml
limits influx of	3	unmapped		data/traits/environment/acidophilic.yaml|data/traits/environment/obligately_acidophilic.yaml|data/traits/morphology/carboxysome.yaml
removes	3	unmapped		data/traits/environment/acidotolerant.yaml|data/traits/environment/ph_optimum_low.yaml|data/traits/morphology/gram_stain.yaml
powers	3	blocked_by_node_type	METPO:2007900	data/traits/environment/aerobic.yaml|data/traits/metabolism/anoxygenic_photosynthesis.yaml|data/traits/metabolism/photosynthesis.yaml
has alternative process	3	unmapped		data/traits/environment/facultative_oxygen_preference.yaml|data/traits/environment/facultatively_aerobic.yaml|data/traits/environment/facultatively_anaerobic.yaml
positively correlates with	3	unmapped		data/traits/environment/ionizing_radiation_tolerant.yaml|data/traits/genomics/rrna_operon_copy_number.yaml|data/traits/physiology/nutrient_adaptation.yaml
scavenges	3	unmapped		data/traits/environment/microaerophilic.yaml|data/traits/environment/radiotolerant.yaml|data/traits/metabolism/disproportionation.yaml
imposes	3	unmapped		data/traits/environment/nacl_optimum_low.yaml|data/traits/environment/ph_optimum_mid1.yaml|data/traits/genomics/plasmid_carriage.yaml
characterizes	3	unmapped		data/traits/environment/nacl_range_mid1.yaml|data/traits/environment/temperature_range_mid2.yaml|data/traits/upper/quality.yaml
alters	3	unmapped		data/traits/environment/ph_delta_mid2.yaml|data/traits/environment/ph_delta_very_low.yaml|data/traits/morphology/spirochete_shaped.yaml
counteracts	3	unmapped		data/traits/environment/ph_optimum_low.yaml|data/traits/environment/temperature_delta_low.yaml|data/traits/environment/temperature_range_mid2.yaml
lowers	3	unmapped		data/traits/environment/ph_range_low.yaml|data/traits/metabolism/mixed_acid_fermentation.yaml|data/traits/physiology/photoautotrophic.yaml
restricts	3	unmapped		data/traits/environment/pressure_delta.yaml|data/traits/morphology/amphitrichous.yaml
influences	3	unmapped		data/traits/genomics/codon_usage_bias.yaml|data/traits/genomics/gc_mid2.yaml|data/traits/morphology/gram_positive.yaml
negatively associated with	3	unmapped		data/traits/genomics/genome_size.yaml|data/traits/genomics/pangenome_openness.yaml|data/traits/morphology/coccus_shaped.yaml
has mechanistic pathway	3	unmapped		data/traits/metabolism/acetogenesis.yaml|data/traits/metabolism/aerobic_respiration.yaml|data/traits/metabolism/homoacetogenesis.yaml
serves as terminal electron acceptor for	3	unmapped		data/traits/metabolism/anaerobic_oxidation_of_methane.yaml
hydrolyzes to	3	unmapped		data/traits/metabolism/chitinolysis.yaml
translocates	3	unmapped		data/traits/metabolism/electron_transfer.yaml|data/traits/metabolism/oxidative_phosphorylation.yaml
feeds into	3	unmapped		data/traits/metabolism/fermentation.yaml|data/traits/morphology/cell_length_medium.yaml|data/traits/physiology/chemoorganoheterotrophic.yaml
converted to	3	unmapped		data/traits/metabolism/homoacetogenesis.yaml|data/traits/morphology/brown_pigmented.yaml|data/traits/physiology/lithoheterotrophic.yaml
transfers electron to	3	unmapped		data/traits/metabolism/nitrogen_fixation.yaml
has quality	3	unmapped		data/traits/metabolism/wood_ljungdahl_pathway.yaml|data/traits/physiology/carboxydotrophic.yaml
feed into	3	unmapped		data/traits/morphology/black_pigmented.yaml|data/traits/morphology/carotenoid_pigmentation.yaml|data/traits/morphology/pink_pigmented.yaml
polymerizes into	3	unmapped		data/traits/morphology/black_pigmented.yaml|data/traits/morphology/magnetosome.yaml
disrupts	3	unmapped		data/traits/morphology/cell_shape.yaml|data/traits/morphology/irregular_shaped.yaml
scaffolds	3	unmapped		data/traits/morphology/fusiform_shaped.yaml|data/traits/morphology/tetrad_arrangement.yaml|data/traits/physiology/chemotaxis.yaml
encapsulates	3	unmapped		data/traits/morphology/intracellular_inclusion.yaml|data/traits/physiology/chemoautotrophic.yaml
broken down by	3	unmapped		data/traits/physiology/chemoheterotrophic.yaml|data/traits/physiology/chemoorganoheterotrophic.yaml
captured by	3	unmapped		data/traits/physiology/photoheterotrophic.yaml|data/traits/physiology/photoorganoheterotrophic.yaml|data/traits/physiology/phototrophic.yaml
is input to	2	unmapped		data/traits/ecology/biosafety_level.yaml
qualifies for	2	unmapped		data/traits/ecology/biosafety_level_1.yaml
influences selection of	2	unmapped		data/traits/ecology/biosafety_level_2.yaml
necessitates use of	2	unmapped		data/traits/ecology/biosafety_level_2.yaml|data/traits/ecology/biosafety_level_4.yaml
necessitates	2	unmapped		data/traits/ecology/biosafety_level_3.yaml|data/traits/metabolism/proteolysis.yaml
implemented by	2	unmapped		data/traits/ecology/biosafety_level_3.yaml
structures	2	unmapped		data/traits/ecology/habitat_association.yaml
enriches	2	unmapped		data/traits/ecology/habitat_association.yaml|data/traits/genomics/mobile_genetic_element.yaml
buffers	2	unmapped		data/traits/ecology/nitrogen_fixing_symbiosis.yaml|data/traits/environment/ph_delta_mid2.yaml
sensed by	2	unmapped		data/traits/ecology/symbiosis.yaml
catalyzes active transport of	2	unmapped		data/traits/environment/acidophilic.yaml
can generate	2	unmapped		data/traits/environment/aerotolerant.yaml|data/traits/environment/microaerotolerant.yaml
helps maintain	2	unmapped		data/traits/environment/alkalotolerant.yaml|data/traits/environment/ph_delta_high.yaml
confers resistance to	2	unmapped		data/traits/environment/cobalt_tolerant.yaml|data/traits/physiology/antibiotic_resistance.yaml
is precursor of	2	unmapped		data/traits/environment/euryhaline.yaml|data/traits/environment/halophilic.yaml
responds to	2	unmapped		data/traits/environment/euryhaline.yaml|data/traits/environment/facultative_oxygen_preference.yaml
changes	2	unmapped		data/traits/environment/extremely_halophilic.yaml|data/traits/environment/temperature_range_mid1.yaml
is compatible with	2	unmapped		data/traits/environment/facultatively_acidophilic.yaml|data/traits/environment/facultatively_alkaphilic.yaml
expels	2	unmapped		data/traits/environment/facultatively_acidophilic.yaml|data/traits/environment/halophilic.yaml
oxidizes/inactivates	2	unmapped		data/traits/environment/facultatively_anaerobic.yaml|data/traits/environment/strictly_anaerobic.yaml
enable	2	unmapped		data/traits/environment/facultatively_anaerobic.yaml|data/traits/environment/temperature_phenotype_with_numerical_limits.yaml
can use	2	unmapped		data/traits/environment/haloalkaliphilic.yaml
biosynthesizes	2	unmapped		data/traits/environment/haloalkaliphilic.yaml|data/traits/environment/halophilic.yaml
tolerated by	2	unmapped		data/traits/environment/halotolerant.yaml|data/traits/environment/microaerotolerant.yaml
repairs	2	unmapped		data/traits/environment/ionizing_radiation_tolerant.yaml|data/traits/environment/uv_radiation_tolerant.yaml
defined as	2	unmapped		data/traits/environment/nacl_optimum_low.yaml|data/traits/environment/nacl_range_mid1.yaml
opens	2	unmapped		data/traits/environment/nacl_range_low.yaml|data/traits/environment/temperature_range_mid2.yaml
distinct from	2	unmapped		data/traits/environment/nacl_range_mid1.yaml|data/traits/physiology/chemoautolithotrophic.yaml
positively contributes to	2	unmapped		data/traits/environment/nacl_range_mid2.yaml
increases amount of	2	unmapped		data/traits/environment/obligately_piezophilic.yaml|data/traits/morphology/non_motile.yaml
perturbs	2	unmapped		data/traits/environment/ph_delta_low.yaml|data/traits/morphology/spirochete_shaped.yaml
binds to	2	unmapped		data/traits/environment/psychrophilic.yaml|data/traits/metabolism/cellulolysis.yaml
shifts	2	unmapped		data/traits/environment/temperature_delta_low.yaml|data/traits/morphology/cell_width_large.yaml
indicates	2	unmapped		data/traits/environment/temperature_optimum.yaml|data/traits/physiology/copiotrophic.yaml
refolds	2	unmapped		data/traits/environment/temperature_optimum_high.yaml|data/traits/environment/thermophilic.yaml
restores	2	unmapped		data/traits/environment/temperature_optimum_mid3.yaml|data/traits/physiology/viable_but_nonculturable_state.yaml
melts	2	unmapped		data/traits/environment/temperature_optimum_mid4.yaml|data/traits/environment/temperature_preference.yaml
introduces	2	unmapped		data/traits/environment/temperature_range_high.yaml|data/traits/environment/thermophilic.yaml
assists	2	unmapped		data/traits/environment/temperature_range_high.yaml
acts on	2	unmapped		data/traits/environment/temperature_range_very_low.yaml|data/traits/morphology/motile.yaml
absorbs	2	unmapped		data/traits/environment/uv_radiation_tolerant.yaml|data/traits/metabolism/anoxygenic_photosynthesis.yaml
carries	2	unmapped		data/traits/genomics/gc_content.yaml|data/traits/genomics/genomic_island.yaml
opposes	2	unmapped		data/traits/genomics/gc_high.yaml|data/traits/morphology/branched_shaped.yaml
biases estimate of	2	unmapped		data/traits/genomics/pangenome_openness.yaml
promotes autocleavage of	2	unmapped		data/traits/genomics/prophage.yaml
methylates	2	unmapped		data/traits/genomics/restriction_modification_system.yaml|data/traits/physiology/chemotaxis.yaml
oxidized during	2	unmapped		data/traits/metabolism/cable_bacteria_metabolism.yaml|data/traits/physiology/chemoorganotrophic.yaml
substrate of	2	unmapped		data/traits/metabolism/calvin_benson_bassham_cycle.yaml
is cosubstrate for	2	unmapped		data/traits/metabolism/dicarboxylate_four_hydroxybutyrate_cycle.yaml
coupled to	2	unmapped		data/traits/metabolism/dissimilatory_iron_reduction.yaml
enables reduction of	2	unmapped		data/traits/metabolism/dissimilatory_iron_reduction.yaml|data/traits/metabolism/dissimilatory_manganese_reduction.yaml
stimulates	2	unmapped		data/traits/metabolism/fermentative_hydrogen_production.yaml|data/traits/morphology/branched_shaped.yaml
affects	2	unmapped		data/traits/metabolism/fermentative_hydrogen_production.yaml|data/traits/physiology/urease_activity.yaml
supports formation of	2	unmapped		data/traits/metabolism/homoacetogenesis.yaml|data/traits/physiology/chemolithoheterotrophic.yaml
supports growth in	2	unmapped		data/traits/metabolism/iron_oxidation.yaml
serves as substrate for	2	unmapped		data/traits/metabolism/methanogenesis.yaml
has output	2	blocked_by_node_type	RO:0002234	data/traits/metabolism/mixed_acid_fermentation.yaml|data/traits/metabolism/three_hydroxypropionate_bicycle.yaml
is oxidized by	2	unmapped		data/traits/metabolism/oxidative_phosphorylation.yaml
electron donor for	2	unmapped		data/traits/metabolism/reductive_tca_cycle.yaml
generates ATP via	2	unmapped		data/traits/metabolism/substrate_level_phosphorylation.yaml|data/traits/physiology/chemoorganotrophic.yaml
rotates	2	unmapped		data/traits/morphology/axially_filamented.yaml|data/traits/morphology/flagellated.yaml
coordinates with	2	unmapped		data/traits/morphology/bacillus_shaped.yaml|data/traits/morphology/rod_shaped.yaml
gives rise to	2	unmapped		data/traits/morphology/bacillus_shaped.yaml|data/traits/morphology/square_shaped.yaml
localizes	2	unmapped		data/traits/morphology/branched_shaped.yaml|data/traits/morphology/star_shaped.yaml
polymerizes to	2	unmapped		data/traits/morphology/brown_pigmented.yaml
attaches	2	unmapped		data/traits/morphology/cell_length.yaml|data/traits/morphology/sarcina_arrangement.yaml
reduced in	2	unmapped		data/traits/morphology/coccus_shaped.yaml|data/traits/morphology/sphere_shaped.yaml
incomplete separation yields	2	unmapped		data/traits/morphology/diplococcus_shaped.yaml
carries out	2	unmapped		data/traits/morphology/ellipsoidal.yaml
combines with	2	unmapped		data/traits/morphology/flask_shaped.yaml|data/traits/morphology/oval_shaped.yaml
dephosphorylates	2	unmapped		data/traits/morphology/non_spore_forming.yaml|data/traits/physiology/chemotaxis.yaml
has component	2	unmapped		data/traits/morphology/ovoid_shaped.yaml
provides precursor for	2	unmapped		data/traits/morphology/pigmentation.yaml
polymerizes to form	2	unmapped		data/traits/morphology/pigmentation.yaml|data/traits/morphology/sarcina_arrangement.yaml
represses transcription of	2	unmapped		data/traits/morphology/polyhydroxyalkanoate_granule.yaml|data/traits/morphology/red_pigmented.yaml
facilitates	2	unmapped		data/traits/morphology/prosthecate.yaml|data/traits/physiology/lithoautotrophic.yaml
self-assembles into	2	unmapped		data/traits/morphology/s_layer.yaml|data/traits/morphology/vibrio_shaped.yaml
builds layer of	2	unmapped		data/traits/morphology/spore_shaped.yaml
required for assembly of	2	unmapped		data/traits/morphology/spore_shaped.yaml
results from reduced	2	unmapped		data/traits/morphology/white_pigmented.yaml
supplies substrate to	2	unmapped		data/traits/physiology/autotrophic.yaml|data/traits/physiology/chemolithoautotrophic.yaml
uses energy substrate	2	unmapped		data/traits/physiology/carboxydotrophic.yaml|data/traits/physiology/chemoautotrophic.yaml
imported by	2	unmapped		data/traits/physiology/chemolithoheterotrophic.yaml|data/traits/physiology/heterotrophic.yaml
uses chemical energy source	2	unmapped		data/traits/physiology/chemoorganoheterotrophic.yaml|data/traits/physiology/chemoorganotrophic.yaml
used by	2	unmapped		data/traits/physiology/chemotrophic.yaml|data/traits/physiology/heterotrophic.yaml
contributes to generation of	2	unmapped		data/traits/physiology/chemotrophic.yaml
couples to	2	unmapped		data/traits/physiology/heterotrophic.yaml
assimilated by	2	unmapped		data/traits/physiology/methylotrophic.yaml
oxidizes to	2	unmapped		data/traits/physiology/methylotrophic.yaml
requires cofactor	2	unmapped		data/traits/physiology/methylotrophic.yaml
promotes switching to	2	unmapped		data/traits/physiology/mixotrophic.yaml
has cofactor	2	unmapped		data/traits/physiology/oxidase_activity.yaml
has specified input	2	unmapped		data/traits/upper/observation.yaml
attaches to	1	unmapped		data/traits/ecology/biofilm_formation.yaml
nucleates	1	unmapped		data/traits/ecology/biofilm_formation.yaml
mandates	1	unmapped		data/traits/ecology/biosafety_level.yaml
guides selection of	1	unmapped		data/traits/ecology/biosafety_level.yaml
informs	1	unmapped		data/traits/ecology/biosafety_level.yaml
increases requirement for	1	unmapped		data/traits/ecology/biosafety_level.yaml
supports classification at	1	unmapped		data/traits/ecology/biosafety_level.yaml
enables containment at	1	unmapped		data/traits/ecology/biosafety_level_1.yaml
is good microbiological practice supporting	1	unmapped		data/traits/ecology/biosafety_level_1.yaml
determine	1	unmapped		data/traits/ecology/biosafety_level_1.yaml
assigns	1	unmapped		data/traits/ecology/biosafety_level_1.yaml
supports assignment to	1	unmapped		data/traits/ecology/biosafety_level_2.yaml
mitigates risk in	1	unmapped		data/traits/ecology/biosafety_level_2.yaml
verified by	1	unmapped		data/traits/ecology/biosafety_level_3.yaml
utilizes	1	unmapped		data/traits/ecology/biosafety_level_3.yaml
motivates	1	unmapped		data/traits/ecology/biosafety_level_5.yaml
provides resources for	1	unmapped		data/traits/ecology/commensalism.yaml
operationalizes	1	unmapped		data/traits/ecology/commensalism.yaml
prerequisite for	1	unmapped		data/traits/ecology/gut_associated.yaml
exerts antimicrobial pressure on	1	unmapped		data/traits/ecology/gut_associated.yaml
serves as nutrient source for	1	unmapped		data/traits/ecology/host_associated.yaml
provides nutrient source for	1	unmapped		data/traits/ecology/host_associated.yaml
induces production of	1	unmapped		data/traits/ecology/nitrogen_fixing_symbiosis.yaml
progresses to under host susceptibility	1	unmapped		data/traits/ecology/opportunistic_pathogen.yaml
exacerbates	1	unmapped		data/traits/ecology/parasitism.yaml
seals	1	unmapped		data/traits/ecology/predatory_bacterium.yaml
provides environment for	1	unmapped		data/traits/ecology/predatory_bacterium.yaml
converts insoluble organic matter into	1	unmapped		data/traits/ecology/saprotrophy.yaml
oxidizes and depolymerizes	1	unmapped		data/traits/ecology/saprotrophy.yaml
catalyzes H2O2-dependent oxidation of	1	unmapped		data/traits/ecology/saprotrophy.yaml
enriches for	1	unmapped		data/traits/ecology/soil_dwelling.yaml
increases prevalence of	1	unmapped		data/traits/ecology/soil_dwelling.yaml
mitigates influx of	1	unmapped		data/traits/environment/acidophilic.yaml
reduces influx of	1	unmapped		data/traits/environment/acidophilic.yaml
increases influx pressure of	1	unmapped		data/traits/environment/acidotolerant.yaml
has mechanistic process	1	unmapped		data/traits/environment/aerobic.yaml
increases importance of	1	unmapped		data/traits/environment/alkalotolerant.yaml
adsorbs	1	unmapped		data/traits/environment/alkalotolerant.yaml
repels	1	unmapped		data/traits/environment/alkalotolerant.yaml
exchanges	1	unmapped		data/traits/environment/alkaphilic.yaml
generates stress via	1	unmapped		data/traits/environment/anaerobic.yaml
enables utilization of	1	unmapped		data/traits/environment/anaerobic.yaml
relieves repression by	1	unmapped		data/traits/environment/arsenic_tolerant.yaml
maintained across	1	unmapped		data/traits/environment/delta_phenotype_with_numerical_limits.yaml
synergizes with	1	unmapped		data/traits/environment/desiccation_tolerant.yaml
introduces positive supercoils into	1	unmapped		data/traits/environment/extreme_hyperthermophilic.yaml
decreases risk of	1	unmapped		data/traits/environment/extreme_hyperthermophilic.yaml
requires adaptation of	1	unmapped		data/traits/environment/extremely_halophilic.yaml
controls adaptation to	1	unmapped		data/traits/environment/facultative_oxygen_preference.yaml
is tolerated by	1	unmapped		data/traits/environment/facultative_psychrophilic.yaml
supports optimum of	1	unmapped		data/traits/environment/facultative_psychrophilic.yaml
destabilizes	1	unmapped		data/traits/environment/facultative_psychrophilic.yaml
necessitates maintenance of	1	unmapped		data/traits/environment/facultatively_acidophilic.yaml
regulates switch between	1	unmapped		data/traits/environment/facultatively_aerobic.yaml
has high affinity for	1	unmapped		data/traits/environment/facultatively_aerobic.yaml
attracts	1	unmapped		data/traits/environment/facultatively_alkaphilic.yaml
activates in absence of oxygen	1	unmapped		data/traits/environment/facultatively_anaerobic.yaml
is part of	1	unmapped		data/traits/environment/facultatively_anaerobic.yaml
involves biosynthesis of	1	unmapped		data/traits/environment/haloalkaliphilic.yaml
relies on	1	unmapped		data/traits/environment/halotolerant.yaml
increases thermostability of	1	unmapped		data/traits/environment/hyperthermophilic.yaml
increases production of	1	unmapped		data/traits/environment/hyperthermophilic.yaml
senses	1	unmapped		data/traits/environment/mercury_tolerant.yaml
enables use of	1	unmapped		data/traits/environment/microaerophilic.yaml
does not require	1	unmapped		data/traits/environment/microaerotolerant.yaml
compatible with	1	unmapped		data/traits/environment/microaerotolerant.yaml
maximizes growth of	1	unmapped		data/traits/environment/microaerotolerant.yaml
enables function of	1	unmapped		data/traits/environment/microaerotolerant.yaml
creates selection for	1	unmapped		data/traits/environment/microaerotolerant.yaml
predominates in	1	unmapped		data/traits/environment/moderately_halophilic.yaml
supports survival in	1	unmapped		data/traits/environment/nacl_delta_high.yaml
precedes/replaced by	1	unmapped		data/traits/environment/nacl_delta_mid1.yaml
reduces demand for	1	unmapped		data/traits/environment/nacl_optimum_low.yaml
corresponds to	1	unmapped		data/traits/environment/nacl_range_mid1.yaml
